,n,rr2,rr3,comp2,comp3,logn
0,32,766.22955964203,766.4668873032763,0.005525827407836914,0.01007390022277832,3.4657359027997265
1,64,766.5855163795355,766.7041686253706,0.006186962127685547,0.007588624954223633,4.1588830833596715
2,128,766.7244057500606,766.7707022069021,0.00956583023071289,0.01033639907836914,4.852030263919617
3,256,766.7740437924328,766.7905898065569,0.019738435745239258,0.019968271255493164,5.545177444479562
4,512,766.7896572065384,766.794861677907,0.06166505813598633,0.06575727462768555,6.238324625039508
5,1024,766.7963951884036,766.7986411823586,0.22704124450683594,0.2414863109588623,6.931471805599453
6,2048,766.7986074190873,766.799344829315,0.913140058517456,0.9798471927642822,7.6246189861593985
7,4096,766.7991961988974,766.7993924588341,3.645494222640991,4.026485919952393,8.317766166719343
8,8192,766.7994151995914,766.7994881998225,14.967328071594238,15.56102204322815,9.010913347279288
9,16384,766.7994792578579,766.7995006106134,60.77940368652344,62.147461891174316,9.704060527839234
10,32768,766.7994999372822,766.7995068304235,248.3587944507599,308.5131950378418,10.39720770839918
